m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
28|district|1|69500|04/26/2023 15:27:53|0.5|1|False|no||Čukarička Padina
76|central|0|79000|05/04/2023 16:37:55|3|-1|False|no|yes|Julino Brdo
54|central|0|86500|09/05/2022 16:26:49|1.5|-1|False|no||Žarkovo
92|district|1|195000|05/04/2023 16:18:53|3.5|-1|False|no|yes|Cerak Vinogradi
49||0|99000|05/04/2023 16:08:19|2.5|3|True|no|yes|Cerak Vinogradi
68|central|0|136000|05/04/2023 15:38:07|3|5|False|no||Banovo Brdo
32|district|0|94000|05/04/2023 15:37:30|1|2|False|yes|yes|Filmski Grad
38|central|0|70000|05/04/2023 15:37:29|2|-1|False|no||Filmski Grad
30|district|1|84900|05/04/2023 15:37:28|1.5|6|True|no|yes|Žarkovo
54|district|0|125000|04/04/2023 15:31:10|3|0|False|no|yes|Banovo Brdo
45|district|0|76000|05/04/2023 14:49:24|1.5|0|False|no|yes|Čukarička Padina
65|district|1|204000|12/05/2022 14:19:22|2.5|3|False|yes|yes|Cerak
61|district|1|214000|05/04/2023 14:06:47|2|4|False|no||Banovo Brdo
20|electricity|0|45000|04/04/2023 13:30:09|0.5|1|False|no||Bele Vode
80|district|0|120000|03/31/2021 13:02:47|3|6|True|no||Banovo Brdo
54|gas|0|82000|08/03/2022 16:22:05|2|-1|False|no|yes|Žarkovo
59|district|1|155000|04/11/2023 17:28:26|2|2|False|no|yes|Filmski Grad
52|electricity|0|129000|04/04/2023 12:19:31|2|4|False||yes|Banovo Brdo
51|district|0|180000|03/16/2023 11:20:05|2|3|False||yes|Banovo Brdo
166|gas|1|630000|04/15/2022 19:29:10|5|4|True|no|yes|Banovo Brdo
95|district|1|350000|04/06/2023 13:45:21|4|3|False|no|yes|Ada Ciganlija
35|central|0|47250|04/11/2023 13:05:52|1.5|2|True|no|in_progress|Žarkovo
40|electricity|0|60000|04/04/2023 10:47:40|1.5|1|False|no|yes|Rušanj
75|storageHeater|0|130000|09/15/2019 15:53:59|3|1|False|semi|yes|Žarkovo
125|district|0|230000|01/17/2020 12:57:19|3.5|5|True|yes|yes|Banovo Brdo
74|gas|0|111000|01/12/2021 19:03:19|2|-1|False|no|yes|Čukarica
122|district|1|195000|07/15/2022 13:18:50|4.5|6|False|no|yes|Cerak Vinogradi
54|central|0|82000|07/21/2022 01:19:25|1.5|-1|False|no|yes|Žarkovo
135|gas|0|225000|09/10/2022 15:21:21|5|1|False|no|yes|Bele Vode
154|norwegianRadiators|0|360000|11/10/2022 19:22:57|3|2|False|no|yes|Banovo Brdo
30|district|1|84900|11/12/2022 17:20:10|1.5|6|True|semi|yes|Žarkovo
110|district|0|240000|12/15/2022 17:20:54|4|3|True|semi|yes|Bele Vode
74|district|0|300000|02/03/2023 18:27:47|3|1|False|no|yes|Banovo Brdo
47|norwegianRadiators|0|106000|03/16/2023 19:27:20|2|-1|False|no|yes|Banovo Brdo
58|district|1|155000|04/11/2023 12:30:58|2|2|False|yes|yes|Filmski Grad
42|district|0|120000|04/04/2023 10:06:54|1.5|1|False|no|yes|Banovo Brdo
75|district|0|199000|05/04/2023 09:39:56|3|7|False||yes|Banovo Brdo
31||0|67000|04/04/2023 09:29:09|1|3|True|||Bele Vode
48|central|0|130000|04/03/2023 13:57:26|2|4|False|no|yes|Banovo Brdo
60||1|79900|10/13/2022 13:05:14|2|0|False||yes|Železnik
63|gas|0|129700|11/05/2022 02:10:41|2.5|1|True|semi|yes|Filmski Grad
38|central|1|100000|05/03/2023 13:21:49|1.5|6|False|no|yes|Banovo Brdo
83|central|0|115000|03/04/2023 21:27:45|2.5|-1|False|no||Žarkovo
178|central|0|430000|11/04/2022 20:17:50|4|2|False|no|yes|Košutnjak
94|central|0|169000|02/17/2023 15:29:08|4|3|False|no|yes|Žarkovo
76||1|220000|02/27/2023 13:28:56|2.5|3|True|no|yes|Žarkovo
100|district|0|260000|11/15/2022 17:18:42|4.5|-1|False||yes|Cerak
60|district|0|115000|04/26/2023 21:34:18|2|4|True|no|yes|Banovo Brdo
38|district|0|89000|05/03/2023 18:13:57|2|-3|False|no|yes|Banovo Brdo
41|district|1|87000|05/03/2023 17:25:41|1|6|True||yes|Cerak Vinogradi
68|district|0|102000|05/03/2023 15:36:48|3|2|False|no||Cerak
95|district|1|350000|05/03/2023 15:34:32|4|3|False|no|yes|Ada Ciganlija
72|district|2|180000|04/26/2023 19:24:52|3|2|False||yes|Banovo Brdo
70|electricity|0|87500|12/14/2022 14:20:20|3|1|True||yes|Železnik
84|gas|1|197000|05/13/2021 15:54:42|3|1|False||no|Filmski Grad
107|district|1|165000|03/16/2022 11:46:02|4|7|False||yes|Čukarička Padina
48|gas|0|105000|03/29/2023 18:22:42|1.5|3|True||yes|Žarkovo
53|gas|1|109500|02/23/2023 16:21:24|2.5|4|True||no|Filmski Grad
83|district|1|150000|11/30/2022 18:19:15|3|6|True|semi|yes|Cerak Vinogradi
47|norwegianRadiators|0|105900|03/17/2023 15:20:06|2|-1|False||yes|Banovo Brdo
74|district|0|165000|03/09/2023 12:21:21|3|1|False||no|Banovo Brdo
122|district|1|195000|07/16/2022 14:18:13|4.5|6|False||yes|Cerak Vinogradi
39|district|1|120000|01/26/2023 18:36:15|1.5|5|False|no|yes|Banovo Brdo
86|district|0|275000|03/04/2023 10:28:34|3.5|3|True|no|yes|Banovo Brdo
54|district|0|108000|04/07/2023 21:45:28|2.5|1|False|no|no|Julino Brdo
74|district|0|300000|02/03/2023 20:15:16|3|1|False|no|yes|Banovo Brdo
73|gas|0|165000|10/28/2022 20:05:22|3|0|False|||Filmski Grad
59||1|180000|04/18/2023 16:05:40|3|4|False||yes|Banovo Brdo
62|central|0|145000|04/12/2023 20:05:38|3|3|False||yes|Železnik
40||0|130000|04/12/2023 20:05:35|3|4|True||yes|Žarkovo
232|district|0|485000|04/02/2023 16:26:11|5|0|False|no|yes|Banovo Brdo
75|central|0|79000|05/03/2022 16:04:43|2.5|-3|False|no||Julino Brdo
87|district|0|235000|04/18/2023 16:37:01|3.5|2|False|no|yes|Banovo Brdo
45|district|0|81000|03/03/2023 14:41:47|1.5|5|True|no|in_progress|Žarkovo
63|electricity|0|179000|09/03/2022 14:16:45|3|1|True|no|yes|Košutnjak
145|central|0|200000|05/13/2022 12:03:14|4|1|False|no|yes|Žarkovo
30|district|1|84900|11/14/2022 20:21:46|1.5|6|True|no|yes|Žarkovo
63|district|1|189000|04/01/2023 11:26:55|2.5|1|False|no|yes|Golf Naselje
42|central|0|77000|04/05/2023 17:30:14|2|5|True|no|yes|Žarkovo
63|district|1|189000|02/03/2023 12:18:01|2.5|1|False|no|yes|Banovo Brdo
54|district|0|82000|07/20/2022 12:19:17|2|-1|False|no||Cerak
39||1|117000|03/03/2023 11:05:28|1|3|False||no|Filmski Grad
31|gas|0|66500|05/02/2023 02:07:44|0.5|1|False|no|yes|Žarkovo
75|storageHeater|0|75000|11/03/2022 00:00:28|3|-1|False||yes|Umka
44|central|0|112500|05/01/2023 21:21:37|1.5|2|False|no|yes|Žarkovo
63|storageHeater|0|82000|02/02/2023 19:29:29|4|-1|False|no||Železnik
125|district|2|438000|03/02/2023 16:01:22|4|7|True||yes|Banovo Brdo
125|district|2|438620|03/02/2023 15:54:54|3|7|True||yes|Banovo Brdo
143|district|2|504100|03/02/2023 15:51:32|4|7|True||yes|Banovo Brdo
175|district|2|614599|03/02/2023 14:58:48|4|6|False||yes|Banovo Brdo
63|district|0|100000|04/01/2023 14:15:13|2.5|2|False|no|yes|Železnik
51|central|0|88000|03/02/2023 14:07:02|2|1|False|no|yes|Bele Vode
55|gas|0|98000|02/02/2023 13:40:31|2|0|False||no|Cerak
65|district|0|97000|05/01/2023 13:12:50|2.5|5|False|no|yes|Banovo Brdo
85|district|0|137000|12/02/2022 12:10:32|2|5|True|no|yes|Banovo Brdo
45|district|1|98000|12/02/2022 12:10:14|1.5|7|False|semi|yes|Čukarička Padina
55|central|0|110000|02/09/2023 14:21:55|2.5|0|False|no||Žarkovo
83|district|0|215000|02/20/2023 16:22:46|3|3|True|no|yes|Banovo Brdo
158|district|0|457000|04/01/2023 11:47:15|4|2|False|no|yes|Banovo Brdo
59|gas|0|100000|02/02/2023 11:29:14|2|2|False|no||Bele Vode
122|district|1|195000|04/01/2023 11:12:29|4.5|6|False|no|yes|Cerak Vinogradi
115|district|2|317210|03/02/2023 10:44:59|4|3|False||yes|Banovo Brdo
