Lokacija|BrojSoba|Mesec|Datum|ProsecnaCena
Barajevo|1|504|04/01/2023|957.23
Barajevo|1|505|05/01/2023|884.655
Barajevo|1|506|06/01/2023|890.03
Barajevo|1.5|001|01/01/2018|0
Barajevo|1.5|002|02/01/2018|390.98
Barajevo|1.5|003|03/01/2018|422.69500000000005
Barajevo|1.5|004|04/01/2018|366.67
Barajevo|1.5|005|05/01/2018|366.67
Barajevo|1.5|006|06/01/2018|387.345
Barajevo|1.5|007|07/01/2018|395.55
Barajevo|1.5|008|08/01/2018|435.56333333333333
Barajevo|1.5|009|09/01/2018|459.57
Barajevo|1.5|010|10/01/2018|462.74333333333334
Barajevo|1.5|011|11/01/2018|460.59
Barajevo|1.5|012|12/01/2018|464.12
Barajevo|1.5|101|01/01/2019|467.6566666666667
Barajevo|1.5|102|02/01/2019|454.48
Barajevo|1.5|103|03/01/2019|433.37
Barajevo|1.5|104|04/01/2019|435.16
Barajevo|1.5|105|05/01/2019|425.19
Barajevo|1.5|106|06/01/2019|426.67
Barajevo|1.5|107|07/01/2019|438.33
Barajevo|1.5|108|08/01/2019|464.82
Barajevo|1.5|109|09/01/2019|461.38
Barajevo|1.5|110|10/01/2019|508.10999999999996
Barajevo|1.5|111|11/01/2019|546.88
Barajevo|1.5|112|12/01/2019|510.905
Barajevo|1.5|201|01/01/2020|468.07
Barajevo|1.5|202|02/01/2020|473.21
Barajevo|1.5|203|03/01/2020|549.105
Barajevo|1.5|204|04/01/2020|0
Barajevo|1.5|205|05/01/2020|625
Barajevo|1.5|206|06/01/2020|831.62
Barajevo|1.5|207|07/01/2020|788.24
Barajevo|1.5|208|08/01/2020|764.71
Barajevo|1.5|209|09/01/2020|676.75
Barajevo|1.5|210|10/01/2020|660.93
Barajevo|1.5|211|11/01/2020|875
Barajevo|1.5|212|12/01/2020|875
Barajevo|1.5|301|01/01/2021|0
Barajevo|1.5|302|02/01/2021|875
Barajevo|1.5|303|03/01/2021|812.0166666666668
Barajevo|1.5|304|04/01/2021|714.8199999999999
Barajevo|1.5|305|05/01/2021|509.09
Barajevo|1.5|306|06/01/2021|438.78
Barajevo|1.5|307|07/01/2021|423.47
Barajevo|1.5|308|08/01/2021|481.82
Barajevo|1.5|309|09/01/2021|0
Barajevo|1.5|310|10/01/2021|0
Barajevo|1.5|311|11/01/2021|0
Barajevo|1.5|312|12/01/2021|0
Barajevo|1.5|401|01/01/2022|416.67
Barajevo|1.5|402|02/01/2022|416.67
Barajevo|1.5|403|03/01/2022|416.67
Barajevo|1.5|404|04/01/2022|0
Barajevo|1.5|405|05/01/2022|0
Barajevo|1.5|406|06/01/2022|0
Barajevo|1.5|407|07/01/2022|0
Barajevo|1.5|408|08/01/2022|0
Barajevo|1.5|409|09/01/2022|416.67
Barajevo|1.5|410|10/01/2022|0
Barajevo|1.5|411|11/01/2022|825.79
Barajevo|1.5|412|12/01/2022|872.73
Barajevo|1.5|501|01/01/2023|915.4166666666666
Barajevo|1.5|502|02/01/2023|922.33
Barajevo|1.5|503|03/01/2023|0
Barajevo|1.5|504|04/01/2023|907.28
Barajevo|1.5|505|05/01/2023|927.08
Barajevo|1.5|506|06/01/2023|914.8199999999999
Barajevo|2|001|01/01/2018|442.98
Barajevo|2|002|02/01/2018|412.515
Barajevo|2|003|03/01/2018|425.73333333333335
Barajevo|2|004|04/01/2018|399.795
Barajevo|2|005|05/01/2018|405.73
Barajevo|2|006|06/01/2018|417.165
Barajevo|2|007|07/01/2018|407.325
Barajevo|2|008|08/01/2018|400.3566666666666
Barajevo|2|009|09/01/2018|405.435
Barajevo|2|010|10/01/2018|409.23
Barajevo|2|011|11/01/2018|405.21
Barajevo|2|012|12/01/2018|437.45
Barajevo|2|101|01/01/2019|437.64333333333326
Barajevo|2|102|02/01/2019|434.5166666666667
Barajevo|2|103|03/01/2019|414.195
Barajevo|2|104|04/01/2019|420.4833333333333
Barajevo|2|105|05/01/2019|402.54499999999996
Barajevo|2|106|06/01/2019|391.4
Barajevo|2|107|07/01/2019|409.3
Barajevo|2|108|08/01/2019|399.265
Barajevo|2|109|09/01/2019|396.975
Barajevo|2|110|10/01/2019|430.9266666666667
Barajevo|2|111|11/01/2019|485.77
Barajevo|2|112|12/01/2019|388.545
Barajevo|2|201|01/01/2020|402.45000000000005
Barajevo|2|202|02/01/2020|402.45000000000005
Barajevo|2|203|03/01/2020|510.3666666666666
Barajevo|2|204|04/01/2020|564.005
Barajevo|2|205|05/01/2020|424.72
Barajevo|2|206|06/01/2020|474.20500000000004
Barajevo|2|207|07/01/2020|459.62
Barajevo|2|208|08/01/2020|433.47
Barajevo|2|209|09/01/2020|382.72666666666663
Barajevo|2|210|10/01/2020|381.56
Barajevo|2|211|11/01/2020|418.65999999999997
Barajevo|2|212|12/01/2020|506.15
Barajevo|2|301|01/01/2021|474.31
Barajevo|2|302|02/01/2021|557.27
Barajevo|2|303|03/01/2021|547.4666666666666
Barajevo|2|304|04/01/2021|652.23
Barajevo|2|305|05/01/2021|581.065
Barajevo|2|306|06/01/2021|587.88
Barajevo|2|307|07/01/2021|590.91
Barajevo|2|308|08/01/2021|545.92
Barajevo|2|309|09/01/2021|501.03499999999997
Barajevo|2|310|10/01/2021|507.69
Barajevo|2|311|11/01/2021|513.305
Barajevo|2|312|12/01/2021|528.925
Barajevo|2|401|01/01/2022|520.66
Barajevo|2|402|02/01/2022|560.61
Barajevo|2|403|03/01/2022|560.61
Barajevo|2|404|04/01/2022|560.61
Barajevo|2|405|05/01/2022|517.025
Barajevo|2|406|06/01/2022|540.415
Barajevo|2|407|07/01/2022|594.25
Barajevo|2|408|08/01/2022|801.0500000000001
Barajevo|2|409|09/01/2022|1055.05
Barajevo|2|410|10/01/2022|1069.84
Barajevo|2|411|11/01/2022|1119.27
Barajevo|2|412|12/01/2022|1065.35
Barajevo|2|501|01/01/2023|1008.7233333333334
Barajevo|2|502|02/01/2023|1165.1399999999999
Barajevo|2|503|03/01/2023|0
Barajevo|2|504|04/01/2023|1265.645
Barajevo|2|505|05/01/2023|974.585
Barajevo|2|506|06/01/2023|956.2349999999999
Barajevo|2.5|001|01/01/2018|472.355
Barajevo|2.5|002|02/01/2018|457.23
Barajevo|2.5|003|03/01/2018|443.1333333333334
Barajevo|2.5|004|04/01/2018|443.8
Barajevo|2.5|005|05/01/2018|437.39
Barajevo|2.5|006|06/01/2018|429.21500000000003
Barajevo|2.5|007|07/01/2018|424.525
Barajevo|2.5|008|08/01/2018|439.31333333333333
