m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
77|district|1|162500|11/23/2022 16:19:08|3|4|False|no|yes|Miljakovac
77|district|1|162000|11/23/2022 16:18:39|3|4|False|no|yes|Miljakovac II
36|district|0|63000|01/23/2023 15:59:34|1.5|-1|False|no|yes|Miljakovac I
61|electricity|0|103000|01/23/2023 12:20:22|2.5|1|False|no|yes|Petlovo Brdo
34|district|1|79000|12/15/2022 18:20:07|1.5|8|False|no|yes|Miljakovac
54|district|0|97000|02/23/2023 01:07:21|2.5|4|True|no|yes|Miljakovac
129|central|0|195000|08/22/2022 23:21:27|4|-1|False|no|yes|Kanarevo Brdo
92|district|1|298000|02/22/2023 19:25:30|4|2|False|no|yes|Stari Košutnjak
78|district|0|154900|07/22/2022 18:11:17|3|3|False|no|yes|Miljakovac
39|district|1|79000|12/05/2022 20:14:08|1|5|False|no|yes|Miljakovac II
64|central|0|70000|01/22/2023 13:30:54|3|4|True|no|yes|Kanarevo Brdo
48|central|3|100000|02/01/2022 11:25:28|2|14|False|no|yes|Vidikovac
75|district|1|119000|04/21/2023 10:22:55|3.5|10|False|no|yes|Skojevsko Naselje
71|district|1|118000|04/20/2023 22:08:28|3|-1|False|no|yes|Miljakovac
51|district|1|102000|04/20/2023 19:47:22|1.5|0|False|no|yes|Vidikovac
96||1|280000|04/20/2023 18:07:00|4|3|True|no|yes|Stari Košutnjak
28|district|0|50000|03/21/2023 17:21:21|1.5|-3|False|no|yes|Miljakovac I
36|district|0|50000|01/21/2023 16:15:49|2|1|True|no|yes|Kanarevo Brdo
95|district|1|180000|03/21/2023 16:06:20|3|5|True|no|yes|Skojevsko Naselje
101|central|0|140000|04/20/2023 15:33:04|3|3|False|no|yes|Vidikovačka Padina
88|district|1|115000|12/21/2022 15:28:20|3|5|False|no|yes|Miljakovac II
120|gas|0|134000|01/11/2023 16:16:24|5|1|False|no|yes|Petlovo Brdo
51|district|1|105000|04/20/2023 13:36:33|1.5|0|False|no|yes|Vidikovac
72|gas|0|129900|08/21/2022 13:20:56|2.5|-1|False|no|yes|Petlovo Brdo
67|central|1|95000|03/21/2023 12:26:53|2.5|9|True|no|yes|Vidikovac
92|district|3|160000|03/21/2023 12:19:25|3|6|False|no|yes|Vidikovac
25|none|0|27000|04/19/2023 22:07:09|0.5|-3|False|no|no|Petlovo Brdo
51|district|1|106500|04/19/2023 21:33:31|1.5|0|False|no|yes|Vidikovac
56|gas|0|129900|07/20/2022 21:21:26|3|-1|False|yes|yes|Petlovo Brdo
115|district|0|115000|01/20/2023 19:32:53|4|3|False|no|yes|Resnik
41|district|1|98400|02/20/2023 18:12:57|1|-1|False|no|yes|Skojevsko Naselje
120|gas|0|134000|02/07/2023 19:01:06|5|1|False|yes|yes|Petlovo Brdo
56|central|0|89600|06/29/2022 19:21:53|1.5|-3|False|no|yes|Vidikovac
54|district|1|97000|08/16/2022 15:19:05|1.5|6|False|no|yes|Miljakovac
64|district|1|140000|11/12/2022 17:20:09|2|2|False|no|yes|Vidikovac
100|district|0|200000|04/03/2023 16:27:32|2.5|3|False|no|yes|Vidikovac
58|central|0|104400|10/20/2022 12:19:01|3|2|False|yes|yes|Rakovica - Centar
37|district|1|99900|02/20/2023 10:19:08|1|4|False|no|yes|Vidikovac
92|district|1|155000|10/19/2022 16:25:27|3.5|10|False|no|yes|Kanarevo Brdo
54|district|1|120000|01/19/2023 15:30:13|1.5|1|False|no|yes|Vidikovac
78|district|0|180000|11/19/2021 15:27:25|3|4|False|no|yes|Kanarevo Brdo
72|gas|0|129900|07/19/2022 14:12:35|3|-1|False|no|yes|Petlovo Brdo
53|district|1|93000|04/18/2023 13:35:00|2|-1|False|no|yes|Miljakovac II
45|district|0|85990|04/18/2023 13:22:54|1.5|1|False|no|yes|Miljakovac
75|central|0|135000|12/19/2022 11:25:28|2|2|True|no|yes|Rakovica - Centar
84|district|0|215000|01/19/2023 10:39:35|4|2|True|semi|yes|Skojevsko Naselje
84|district|0|102000|04/18/2023 10:36:13|3.5|3|False|no|yes|Resnik
22||0|55000|04/18/2023 10:36:09|1|-1|False|no|yes|Miljakovac
72|gas|0|129900|07/18/2022 21:19:23|2.5|-1|False|yes|yes|Petlovo Brdo
46|district|0|90000|03/18/2023 20:06:38|2|0|False|no|yes|Kanarevo Brdo
110|central|0|139000|08/03/2022 09:25:30|4|2|True|no|yes|Rakovica
41|district|1|92400|02/18/2023 18:11:04|1|-1|False|no|yes|Skojevsko Naselje
30|district|0|64000|01/18/2023 10:18:31|0.5|1|False|no|yes|Labudovo Brdo
52|district|1|97000|10/17/2022 18:10:35|1.5|11|True|no|yes|Vidikovac
56|district|0|100800|03/17/2023 17:31:31|2|-1|False|no|yes|Miljakovac
107|central|0|205000|03/17/2023 14:15:07|3|4|False|yes|partially|Miljakovac
43|central|0|95000|03/17/2023 13:29:17|2|3|False|no|yes|Miljakovac
64|storageHeater|0|70000|11/17/2022 13:29:02|3|4|True|no|yes|Kanarevo Brdo
92|district|0|185000|03/16/2023 19:31:53|3.5|3|False|no|yes|Stari Košutnjak
