m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|placeTitle
78|district|0|180000|11/19/2021 15:27:25|3|4|Kanarevo Brdo
72|gas|0|129900|07/19/2022 14:12:35|3|-1|Petlovo Brdo
89|district|1|155000|11/01/2022 20:22:53|3|5|Miljakovac
30|district|1|56000|01/06/2023 11:28:46|1|-1|Miljakovac
53|district|1|93000|04/18/2023 13:35:00|2|-1|Miljakovac II
45|district|0|85990|04/18/2023 13:22:54|1.5|1|Miljakovac
42|central|0|84000|12/19/2022 12:23:45|2|1|Vidikova��ka Pa
75|central|0|135000|12/19/2022 11:25:28|2|2|Rakovica - Centar
84|district|0|215000|01/19/2023 10:39:35|4|2|Skojevsko Naselje
84|district|0|102000|04/18/2023 10:36:13|3.5|3|Resnik
70|central|0|85000|04/18/2023 10:36:10|3|2|Vidikovac
22||0|56000|04/18/2023 10:36:09|1|-1|Miljakovac
30|electricity|0|71500|04/18/2023 10:36:09|1.5|4|Petlovo Brdo
58|electricity|0|76800|01/19/2022 00:25:52|2.5|4|Vidikovac
67|district|0|119900|01/18/2023 22:18:18|3|7|Labudovo Brdo
72|gas|0|129900|07/18/2022 21:19:23|2.5|-1|Petlovo Brdo
46|district|0|90000|03/18/2023 20:06:38|2|0|Kanarevo Brdo
54|gas|0|93000|02/10/2023 01:05:25|2|3|Petlovo Brdo
110|central|0|139000|08/03/2022 09:25:30|4|2|Rakovica
68|electricity|0|90000|10/18/2021 19:19:33|2.5|2|Rakovica
88|district|0|109000|04/17/2023 19:19:31|5|3|Resnik
41|district|1|92400|02/18/2023 18:11:04|1|-1|Skojevsko Naselje
305|central|1|325000|11/18/2022 17:48:55|3.5|6|Vidikovac
60|airConditioning|0|72000|01/18/2023 16:10:48|3|0|Vidikovac
41|central|0|61000|12/06/2022 16:31:05|2|-1|Petlovo Brdo
60|district|0|110000|01/18/2023 13:29:46|2|5|Miljakovac
30|district|0|64000|01/18/2023 10:18:31|0.5|1|Labudovo Brdo
64|central|0|70000|11/18/2022 09:18:23|2|4|Kanarevo Brdo
52|district|1|97000|10/17/2022 18:10:35|1.5|11|Vidikovac
56|district|0|100800|03/17/2023 17:31:31|2|-1|Miljakovac
30|storageHeater|0|59700|03/17/2023 15:26:42|1|3|Kne��
107|central|0|205000|03/17/2023 14:15:07|3|4|Miljakovac
43|central|0|95000|03/17/2023 13:29:17|2|3|Miljakovac
64|storageHeater|0|70000|11/17/2022 13:29:02|3|4|Kanarevo Brdo
59|district|1|139000|10/17/2022 13:22:51|2|8|Skojevsko Naselje
41|district|1|92400|03/17/2023 12:14:25|1|-1|Skojevsko Naselje
116|gas|0|148000|09/17/2022 12:10:52|5|1|Petlovo Brdo
61|district|0|130000|02/09/2023 16:21:37|2|-1|Miljakovac
110|electricity|0|160000|03/17/2022 01:11:55|3.5|100|Kanarevo Brdo
70|gas|0|78000|02/17/2022 00:42:37|3|100|Petlovo Brdo
92|district|0|190000|03/16/2023 19:31:53|3.5|3|Stari Ko��ut
37|central|0|52000|05/16/2022 19:18:39|1.5|3|Kne��
46||1|117300|03/16/2023 19:11:12|2.5|0|Kanarevo Brdo
29|electricity|0|65000|01/16/2023 18:23:50|1|2|Rakovica
88|district|1|180000|01/16/2023 18:18:03|3|7|Vidikovac
34|district|1|79000|12/16/2022 18:12:22|1|8|Miljakovac
130|gas|0|142000|03/16/2023 17:21:43|3.5|-1|Petlovo Brdo
84|district|0|159000|04/15/2023 16:22:07|2|0|Labudovo Brdo
77||1|193000|12/16/2022 16:12:33|3|4|Miljakovac
100|electricity|0|100000|05/16/2022 15:43:40|3|1|Rakovica - Centar
53|electricity|0|85000|02/16/2023 14:08:20|2.5|-1|Petlovo Brdo
50|district|0|87000|03/16/2023 14:06:52|2|3|Kanarevo Brdo
70|norwegianRadiators|0|60000|06/16/2022 12:52:16|3|-1|Kne��
104|district|1|168000|01/16/2023 12:24:26|3|5|Vidikovac
36|district|0|50000|02/16/2023 12:18:24|1.5|1|Kanarevo Brdo
71|gas|0|82000|02/16/2023 12:17:17|3.5|3|Labudovo Brdo
90|district|0|143900|08/31/2022 22:18:46|4|5|Miljakovac
305|central|1|325000|10/14/2022 15:24:41|3.5|6|Vidikovac
38|district|2|82000|04/14/2023 20:59:47|1.5|0|Kanarevo Brdo
43|electricity|0|49500|03/15/2023 20:07:26|1.5|-2|Rakovica - Centar
68|central|0|71900|02/15/2023 19:32:18|2.5|5|Petlovo Brdo
50|district|1|105000|12/15/2022 19:31:11|2|1|Kanarevo Brdo
129|central|0|195000|09/15/2022 19:35:04|5|-1|Kanarevo Brdo
79|district|0|160000|12/15/2022 18:25:59|3|1|Miljakovac
35|district|0|76500|12/15/2022 18:17:57|2|3|Skojevsko Naselje
94||0|147000|12/15/2022 18:12:33|3.5|3|Miljakovac III
46||0|117000|03/15/2023 16:11:28|2.5|0|Kanarevo Brdo
56|district|0|100800|03/15/2023 16:11:27|2|-1|Miljakovac
55|electricity|0|102000|03/15/2023 16:08:37|2|1|Petlovo Brdo
66|district|1|135000|02/15/2023 15:28:07|2|3|Vidikovac
80|district|0|142000|03/15/2023 14:33:17|3|2|Vidikovac
115|district|0|99900|08/15/2022 14:30:10|4|3|Resnik
48|electricity|0|91000|03/15/2023 14:06:50|2.5|1|Vidikovac
44|central|0|74900|02/15/2023 14:05:21|2|4|Kne��
36|district|0|100000|02/27/2023 18:22:34|1|5|Vidikovac
42|electricity|0|64000|02/15/2023 12:07:34|1.5|0|Petlovo Brdo
38|central|0|75000|03/15/2023 11:47:47|2|2|Miljakovac III
69|electricity|0|115000|11/15/2022 00:16:52|2.5|3|Rakovica
78|central|0|75000|11/15/2022 00:15:54|4|5|Vidikovac
80|district|0|155000|04/14/2022 18:50:01|3|2|Vidikovac
145|district|0|135000|02/14/2022 18:43:40|5|-1|Miljakovac
112|central|0|160000|11/07/2022 16:19:15|5|1|Petlovo Brdo
48|central|0|69000|03/14/2023 17:32:23|1|1|Vidikova��ka Pa
64|district|1|138000|11/14/2022 16:27:05|2|2|Vidikovac
43|district|1|86500|02/14/2023 15:23:30|1|1|Kanarevo Brdo
36|district|0|71900|01/14/2023 14:19:51|1|1|Miljakovac
300|gas|1|620000|04/13/2023 13:06:34|4|7|Vidikovac
90|storageHeater|0|85000|04/13/2023 12:58:26|3|4|Kanarevo Brdo
60|district|0|80000|04/13/2023 12:23:35|1.5|-1|Kanarevo Brdo
33|central|0|68000|04/13/2023 11:27:37|1.5|3|Kne��
72|gas|0|129900|07/27/2022 18:27:04|3|-1|Petlovo Brdo
99|central|0|100000|02/14/2019 00:45:47|4|1|Vidikovac
42|district|1|104000|03/14/2023 00:19:44|2|4|Miljakovac
61|district|0|130000|02/13/2023 23:26:50|2|-1|Miljakovac
62|storageHeater|0|105000|02/13/2023 23:26:48|2|0|Kanarevo Brdo
40|district|1|72000|02/13/2023 19:28:12|1.5|5|Miljakovac II
44|central|0|85000|11/13/2022 19:26:29|1.5|4|Vidikova��ka Pa
46|norwegianRadiators|0|117000|03/13/2023 19:18:51|2.5|0|Kanarevo Brdo
67|district|1|153000|01/13/2023 18:15:04|3|-1|Vidikovac
43|central|0|49500|03/13/2023 17:24:00|1.5|-3|Miljakovac
109|gas|1|325000|02/04/2022 16:19:42|4|7|Vidikovac
67|district|0|122900|12/13/2022 16:22:19|2.5|2|Kanarevo Brdo
36|central|0|54000|09/13/2022 16:20:34|2.5|4|Petlovo Brdo
50|district|1|125000|12/13/2022 14:12:31|1.5|2|Skojevsko Naselje
74|district|2|142000|02/13/2023 14:12:38|2.5|2|Kanarevo Brdo
72|electricity|0|135000|03/03/2023 16:21:40|3|3|Rakovica - Centar
116|gas|0|138000|09/13/2022 11:27:06|5|1|Petlovo Brdo
61|central|0|105000|04/12/2023 11:30:41|2.5|1|Petlovo Brdo
30|district|0|56000|09/26/2022 14:36:33|1.5|-1|Miljakovac
60|district|1|93000|10/25/2022 21:18:16|2.5|0|Miljakovac
67|district|2|153000|12/23/2022 10:23:44|3|-1|Vidikovac
84|district|0|159000|04/10/2023 17:22:45|2|0|Labudovo Brdo
71|district|1|195000|04/12/2023 07:12:33|3|3|Vidikovac
32|central|0|55000|04/12/2023 00:25:34|1.5|-1|Petlovo Brdo
51|central|0|90000|04/12/2023 00:05:16|1.5|2|Kne��
77|district|1|139000|02/12/2023 21:29:28|3.5|13|Vidikovac
30|district|1|56000|01/12/2023 19:34:23|1|-1|Miljakovac
64|district|1|140000|11/12/2022 16:20:36|2.5|2|Vidikovac
97|district|1|168000|04/11/2023 15:34:34|3|5|Vidikovac
81|electricity|0|140000|04/06/2023 17:52:58|4|4|Kanarevo Brdo
134|district|0|235000|03/08/2023 17:57:24|4|3|Stari Ko��ut
74|district|1|230000|04/11/2023 12:12:52|5|7|Vidikovac
65|district|1|119000|08/22/2022 11:22:52|3|10|Skojevsko Naselje
71|district|1|175000|04/11/2023 07:10:10|3|3|Vidikovac
88|district|1|159000|04/10/2023 19:08:27|3.5|4|Skojevsko Naselje
45|district|0|99000|04/10/2023 18:08:17|2|-1|Vidikovac
81|central|0|80000|04/10/2023 17:33:41|4|2|Resnik
76|central|0|130000|01/11/2023 17:29:57|3|1|Petlovo Brdo
58|gas|0|90000|01/11/2023 16:16:23|3|0|Petlovo Brdo
115|district|1|180000|01/11/2023 16:16:19|5|8|Vidikovac
67|central|1|95000|01/11/2023 16:16:18|2.5|9|Vidikovac
33|central|0|68000|04/10/2023 15:57:22|1|3|Labudovo Brdo
62||0|130000|04/10/2023 15:27:32|2.5|0|Miljakovac
74|district|1|162000|10/11/2022 14:19:25|3|3|Skojevsko Naselje
37|electricity|0|54999|02/11/2023 12:18:31|1.5|0|Labudovo Brdo
72|electricity|0|139000|03/11/2023 11:48:30|2|2|Rakovica
110|gas|1|325000|04/11/2022 11:02:49|4|7|Vidikovac
95|district|1|180000|10/27/2018 00:56:08|5|5|Rakovica
74|district|1|145000|08/10/2022 20:30:52|4|7|Miljakovac
99|gas|0|120000|02/10/2022 20:08:09|3.5|1|Petlovo Brdo
30|electricity|0|59700|02/10/2023 19:19:06|1|3|Vidikova��ka Pa
95|central|0|120000|07/10/2021 12:52:29|5|2|Miljakovac
130|district|1|230000|01/10/2023 11:30:29|5|7|Vidikovac
230|gas|0|114000|10/27/2018 00:48:47|5|2|Petlovo Brdo
30|electricity|0|59000|04/08/2023 22:11:09|1.5|3|Rakovica - Centar
29|central|0|56900|04/08/2023 22:11:09|1.5|4|Rakovica - Centar
66|district|1|150000|04/08/2023 16:07:15|2.5|2|Vidikovac
43|central|0|95000|03/09/2023 14:25:38|1.5|3|Miljakovac I
100|district|1|200000|04/08/2023 14:11:52|3|3|Vidikovac
28|central|0|58000|03/09/2023 14:06:49|1.5|3|Rakovica - Centar
46|district|0|73000|12/09/2021 14:00:24|2.5|5|Miljakovac
88|district|1|115000|02/09/2023 01:17:28|3|5|Miljakovac
33|central|0|68000|04/08/2023 00:20:56|1|3|Vidikovac
74|district|1|125800|04/07/2023 20:06:31|3.5|0|Labudovo Brdo
76|central|0|123900|09/08/2022 18:12:40|4|1|Kne��
65|electricity|0|85000|03/08/2023 17:30:34|3|3|Labudovo Brdo
102|district|0|145000|03/08/2023 17:30:30|4.5|3|Labudovo Brdo
56|district|0|109000|04/07/2023 15:33:06|2|3|Kanarevo Brdo
90|district|1|180000|02/08/2023 15:26:24|3|7|Vidikovac
61||0|114900|03/08/2023 15:22:25|2|1|Vidikovac
129|central|0|195000|03/08/2023 14:24:36|5|-2|Kanarevo Brdo
40|central|0|65000|04/07/2023 14:07:49|1.5|-1|Rakovica - Centar
33|central|0|68000|04/07/2023 13:54:39|1|3|Labudovo Brdo
73|district|1|128000|02/01/2023 11:35:18|2.5|-1|Vidikovac
92|district|1|195000|04/07/2023 10:57:28|3.5|3|Stari Ko��ut
44|gas|1|93900|04/07/2023 09:29:13|1.5|2|Kne��
67|district|0|119000|04/03/2023 16:12:41|2.5|4|Kanarevo Brdo
54|district|1|97800|02/08/2023 00:19:05|2|5|Rakovica
49|electricity|0|98500|01/08/2023 00:15:54|2|2|Kanarevo Brdo
48|central|0|81000|03/08/2023 00:07:58|2|100|Kne��
56|district|0|84000|12/08/2022 00:00:10|2.5|-1|Miljakovac
51|norwegianRadiators|0|110000|12/07/2022 20:25:56|2.5|2|Rakovica
75|district|1|230000|04/06/2023 19:38:30|5|7|Vidikovac
88|district|0|159000|02/07/2023 19:30:12|3.5|4|Vidikovac
60|central|0|75000|04/06/2023 18:29:56|3|-1|Resnik
29|central|0|56900|04/06/2023 15:40:56|1.5|4|Kne��
86|gas|0|140000|04/07/2022 15:33:23|3|-1|Petlovo Brdo
50|district|0|87000|04/06/2023 13:33:05|2|3|Kanarevo Brdo
49|district|1|97900|12/07/2022 12:12:18|1.5|4|Rakovica - Centar
61|storageHeater|0|82350|03/31/2023 07:07:20|2.5|-1|Resnik
121|central|0|157300|03/31/2023 07:07:22|3|1|Resnik
121|central|0|157300|03/31/2023 07:07:23|3|0|Resnik
48|electricity|0|79000|12/07/2022 00:17:21|1|4|Kne��
30|district|0|56000|11/07/2022 00:17:05|1|-1|Miljakovac
51|gas|0|80000|08/06/2022 18:17:08|2|1|Petlovo Brdo
104|gas|0|120000|08/06/2022 18:17:05|3|2|Petlovo Brdo
36|district|0|50000|03/06/2023 17:32:18|1.5|1|Kanarevo Brdo
30|district|0|56000|03/06/2023 16:05:47|1|-1|Miljakovac
32|central|0|67000|04/05/2023 16:06:29|1|-1|Miljakovac
30|district|0|56000|10/06/2022 15:32:46|1|-1|Miljakovac
86|district|1|168000|04/05/2023 15:32:22|4|5|Vidikovac
92|district|1|190000|12/06/2022 14:57:39|3.5|3|Stari Ko��ut
120|district|0|149000|12/06/2022 14:23:15|4|3|Labudovo Brdo
45|district|0|99000|01/06/2023 14:15:50|2|1|Labudovo Brdo
72|district|1|158000|01/06/2023 14:15:49|2.5|11|Vidikovac
92|district|1|168000|01/06/2023 14:15:43|3.5|10|Vidikovac
32|central|0|67000|01/06/2023 14:15:43|1|-1|Miljakovac
99|gas|0|120000|01/06/2023 14:15:36|2|2|Petlovo Brdo
71|district|0|154900|01/06/2023 14:15:32|3|3|Miljakovac
35|central|0|70000|03/06/2023 13:05:37|2|3|Kne��
43|central|0|95000|02/06/2023 13:10:08|2|3|Miljakovac
22|district|0|56000|01/06/2023 11:32:47|1|-1|Miljakovac
36|district|1|96000|02/06/2023 10:38:53|1|5|Vidikovac
60|district|0|123000|04/05/2023 00:05:15|2|0|Miljakovac
46||0|117300|11/02/2022 20:22:56|2.5|0|Kanarevo Brdo
114|central|0|137000|04/04/2023 14:07:43|4|-1|Petlovo Brdo
73|district|0|200000|04/04/2023 13:24:40|3|3|Vidikovac
157|district|1|360000|10/05/2022 13:10:54|5|7|Vidikovac
45|central|0|77000|11/05/2020 00:50:43|1|4|Labudovo Brdo
36|electricity|0|57600|04/04/2023 00:18:50|1.5|3|Kne��
129|central|0|200000|07/04/2022 19:19:13|4|-3|Kanarevo Brdo
127|central|0|129011|09/04/2020 19:06:26|4|1|Petlovo Brdo
77|district|0|139000|04/03/2023 16:31:35|3.5|13|Vidikovac
94|district|1|89000|07/04/2021 15:38:11|3.5|4|Labudovo Brdo
68|district|2|135000|03/04/2023 15:07:15|2|5|Vidikovac
22|district|0|56000|03/04/2023 14:10:46|1|-1|Miljakovac
102|district|0|145000|08/04/2022 12:10:42|4.5|3|Labudovo Brdo
46|central|0|88500|03/04/2023 10:28:35|2|4|Rakovica - Centar
92|district|1|180000|06/03/2022 18:04:57|3.5|1|Stari Ko��ut
105|district|1|168000|08/03/2022 17:30:49|4|5|Vidikovac
