m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
95|district|1|180000|04/03/2023 13:20:57|2.5|5|True||yes|Skojevsko Naselje
50|district|0|87000|03/17/2023 16:20:45|2|3|False||yes|Kanarevo Brdo
96|district|2|180000|03/29/2023 13:22:32|3.5|3|False||yes|Vidikovac
49|district|1|97000|11/22/2022 12:19:09|1.5|6|False||yes|Miljakovac
42|electricity|0|88000|03/07/2023 15:15:24|1.5|4|False||yes|Kanarevo Brdo
70|district|1|104900|03/13/2023 23:02:42|3|5|True|no|in_progress|Miljakovac II
95|district|0|150000|03/30/2023 14:23:00|3.5|2|True||yes|Vidikovac
72|district|1|140000|03/29/2023 20:21:45|2.5|0|False||yes|Vidikovac
84|district|1|115000|10/17/2022 19:22:45|4|11|False|no|yes|Petlovo Brdo
50|central|1|95000|11/14/2022 14:19:16|2|2|False||yes|Vidikovac
71|district|0|154900|01/06/2023 14:15:32|3|3|False|no|yes|Miljakovac
99|gas|0|120000|01/06/2023 14:15:36|2|2|True|no|yes|Petlovo Brdo
32|central|0|67000|01/06/2023 14:15:43|1|-1|False|no|yes|Miljakovac
45|district|0|99000|01/06/2023 14:15:50|2|1|False|no|yes|Labudovo Brdo
66|central|0|119900|04/05/2023 16:22:17|2.5|-1|False||yes|Petlovo Brdo
60|district|3|99000|10/10/2022 16:19:44|2|14|False||yes|Vidikovac
103|district|1|159000|04/07/2023 20:06:52|4.5|4|False||yes|Vidikovac
46|norwegianRadiators|0|117300|03/15/2023 16:21:46|2.5|0|False||yes|Kanarevo Brdo
53|district|1|97000|03/25/2023 10:08:48|1.5|11|False||yes|Vidikovac
37|district|0|74000|04/03/2023 19:06:33|1.5|0|False|no||Kanarevo Brdo
64|district|1|138000|03/25/2023 10:08:56|2|2|False||yes|Vidikovac
61|district|0|128100|04/21/2023 22:17:01|2.5|1|False|no|yes|Kanarevo Brdo
22|district|0|56000|03/04/2023 14:10:46|1|-1|False|no|yes|Miljakovac
75|central|0|135000|03/04/2023 14:05:33|2|3|True|||Rakovica
45|district|0|99000|11/08/2022 15:18:15|2|1|False||yes|Labudovo Brdo
